FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Horizon Europe Transitional Measures,246754,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,289640,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,249643,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,276076,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,245344,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,231640,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,255813,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,255812,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,250552,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,230800,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,287320,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,209952,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,219404,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,265920,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,165340,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,252813,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,221244,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,247101,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,255812,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,235081,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,228281,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,261812,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,255213,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,224680,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,259596,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,238020,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,224680,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,243754,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,239279,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,217988,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,282960,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,231279,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
Horizon Europe Transitional Measures,233504,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,Übergangsmassnahmen Horizon Europe,SNSF Swiss Postdoctoral Fellowships
